,id,x_px,y_px,z_px,visibility,x,y,z
0,0,504,168,-312,0.9999443292617798,0.45622119815668205,0.019425019425019424,0.45996978851963743
7,7,550,157,50,0.9998314380645752,0.5622119815668203,0.010878010878010878,0.7333836858006042
8,8,453,162,25,0.9999043941497803,0.3387096774193548,0.014763014763014764,0.7145015105740181
11,11,627,333,203,0.999927282333374,0.7396313364055299,0.14763014763014762,0.8489425981873112
12,12,387,335,141,0.9999611377716064,0.18663594470046083,0.14918414918414918,0.8021148036253777
13,13,682,498,-56,0.9305210113525391,0.8663594470046083,0.27583527583527584,0.6533232628398792
14,14,306,514,-200,0.9552335739135742,0.0,0.28826728826728826,0.5445619335347432
15,15,724,318,-620,0.9813321828842163,0.9631336405529954,0.13597513597513597,0.22734138972809667
16,16,445,457,-785,0.9918511509895325,0.32027649769585254,0.24397824397824397,0.1027190332326284
19,19,740,259,-750,0.9750458598136902,1.0,0.09013209013209013,0.12915407854984895
20,20,495,426,-901,0.9848819375038147,0.43548387096774194,0.2198912198912199,0.015105740181268883
23,23,579,722,4,0.9999492168426514,0.6290322580645161,0.44988344988344986,0.6986404833836858
24,24,429,722,-4,0.9999610185623169,0.2834101382488479,0.44988344988344986,0.6925981873111783
25,25,552,1042,-17,0.8633237481117249,0.5668202764976958,0.6985236985236986,0.6827794561933535
26,26,425,1050,-109,0.8610355854034424,0.27419354838709675,0.7047397047397047,0.6132930513595166
27,27,545,1318,383,0.9291921257972717,0.5506912442396313,0.912975912975913,0.9848942598187311
28,28,424,1310,332,0.9179520010948181,0.271889400921659,0.9067599067599068,0.9463746223564955
31,31,539,1430,63,0.9123846888542175,0.5368663594470046,1.0,0.743202416918429
32,32,406,1421,50,0.8882923126220703,0.2304147465437788,0.993006993006993,0.7333836858006042
