,id,x_px,y_px,z_px,visibility,x,y,z
0,0,523,255,-309,0.9995301961898804,0.49557522123893805,0.02216538789428815,0.4608610567514677
7,7,580,238,-24,0.9994943141937256,0.7477876106194691,0.0076726342710997444,0.7397260273972602
8,8,476,234,1,0.9991914629936218,0.28761061946902655,0.004262574595055414,0.764187866927593
11,11,634,363,88,0.9997300505638123,0.9867256637168141,0.11423699914748509,0.8493150684931506
12,12,419,357,154,0.9995156526565552,0.035398230088495575,0.10912190963341858,0.913894324853229
13,13,597,544,-193,0.8862210512161255,0.8230088495575221,0.26854219948849106,0.5743639921722113
14,14,415,517,-176,0.687509298324585,0.017699115044247787,0.24552429667519182,0.5909980430528375
15,15,542,369,-643,0.9228173494338989,0.5796460176991151,0.11935208866155157,0.13405088062622308
16,16,501,361,-670,0.8494082689285278,0.39823008849557523,0.11253196930946291,0.10763209393346379
19,19,538,312,-736,0.8805250525474548,0.5619469026548672,0.07075873827791987,0.043052837573385516
20,20,505,308,-757,0.8077338933944702,0.415929203539823,0.06734867860187553,0.022504892367906065
23,23,574,737,-15,0.9999722242355347,0.7212389380530974,0.43307757885763,0.7485322896281801
24,24,439,732,14,0.9999709129333496,0.12389380530973451,0.4288150042625746,0.776908023483366
25,25,582,1038,-44,0.9379162788391113,0.7566371681415929,0.6896845694799659,0.7201565557729941
26,26,452,1021,-35,0.9040535688400269,0.18141592920353983,0.6751918158567775,0.7289628180039139
27,27,608,1311,227,0.965261697769165,0.8716814159292036,0.9224211423699915,0.9853228962818004
28,28,454,1304,228,0.9541676640510559,0.1902654867256637,0.9164535379369139,0.9863013698630136
31,31,637,1402,-68,0.9500473141670227,1.0,1.0,0.6966731898238747
32,32,411,1391,-43,0.9333567023277283,0.0,0.9906223358908781,0.7211350293542075
