,id,x_px,y_px,z_px,visibility,x,y,z
0,0,475,268,-613,0.9999991655349731,0.500709219858156,0.03479036574487065,0.3445491251682369
7,7,445,233,-409,0.9999996423721313,0.4581560283687943,0.003568242640499554,0.48183041722745623
8,8,412,250,-617,0.9999936819076538,0.41134751773049644,0.01873327386262266,0.34185733512786004
11,11,490,330,-168,0.9999998807907104,0.5219858156028369,0.09009812667261374,0.6440107671601615
12,12,310,377,-587,0.9999912977218628,0.26666666666666666,0.1320249776984835,0.3620457604306864
13,13,645,339,-137,0.9944100975990295,0.7418439716312056,0.09812667261373774,0.6648721399730821
14,14,176,526,-807,0.9495666027069092,0.07659574468085106,0.2649420160570919,0.21399730820995963
15,15,787,332,-338,0.9858512282371521,0.9432624113475178,0.09188224799286351,0.5296096904441454
16,16,301,602,-1033,0.3493737280368805,0.25390070921985813,0.3327386262265834,0.06191117092866756
19,19,827,318,-424,0.9857426881790161,1.0,0.07939339875111508,0.4717362045760431
20,20,338,587,-1125,0.36884981393814087,0.30638297872340425,0.3193577163247101,0.0
23,23,402,748,156,0.9999867677688599,0.3971631205673759,0.46297948260481714,0.8620457604306864
24,24,329,739,-156,0.9999618530273438,0.2936170212765957,0.45495093666369313,0.652086137281292
25,25,353,1045,219,0.2259807288646698,0.3276595744680851,0.727921498661909,0.9044414535666218
26,26,538,994,-321,0.6230459809303284,0.5900709219858156,0.6824264049955397,0.5410497981157469
27,27,164,1165,356,0.41229870915412903,0.059574468085106386,0.8349687778768956,0.9966352624495289
28,28,468,1291,-89,0.6915674209594727,0.4907801418439716,0.9473684210526315,0.6971736204576043
31,31,215,1275,274,0.5315789580345154,0.13191489361702127,0.9330954504906334,0.9414535666218035
32,32,566,1350,-162,0.7236524820327759,0.6297872340425532,1.0,0.6480484522207268
