,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,642,274,-11,0.9997774958610535,0.196,-0.532,-0.044
7,0,7,556,268,-22,0.9997755885124207,-0.148,-0.556,-0.088
20,0,20,777,192,410,0.9147149920463562,0.736,-0.86,1.64
16,0,16,812,230,414,0.9359474778175354,0.876,-0.708,1.656
14,0,14,866,382,124,0.9718400835990906,1.092,-0.1,0.496
12,0,12,718,407,-86,0.9989493489265442,0.5,0.0,-0.344
11,0,11,468,407,-87,0.9987132549285889,-0.5,0.0,-0.348
13,0,13,319,377,130,0.9883201122283936,-1.096,-0.12,0.52
15,0,15,384,226,403,0.9222925901412964,-0.836,-0.724,1.612
19,0,19,411,193,401,0.8828766942024231,-0.728,-0.856,1.604
24,0,24,658,800,4,0.9988452196121216,0.26,1.572,0.016
23,0,23,526,796,-5,0.9992770552635193,-0.268,1.556,-0.02
26,0,26,654,1062,187,0.933371365070343,0.244,2.62,0.748
25,0,25,529,1054,94,0.9738430380821228,-0.256,2.588,0.376
26,0,26,654,1062,187,0.933371365070343,0.244,2.62,0.748
28,0,28,638,1335,228,0.8957008123397827,0.18,3.712,0.912
32,0,32,638,1355,212,0.5913123488426208,0.18,3.792,0.848
27,0,27,568,1332,125,0.9114935994148254,-0.1,3.7,0.5
31,0,31,563,1346,126,0.5858078002929688,-0.12,3.756,0.504
