,id,x_px,y_px,z_px,visibility,x,y,z
0,0,201,26,389,0.999953031539917,0.45681818181818185,0.030624263839811542,0.30038610038610036
7,7,231,3,650,0.9999622106552124,0.525,0.0035335689045936395,0.5019305019305019
8,8,168,23,649,0.9998533725738525,0.38181818181818183,0.027090694935217905,0.5011583011583012
11,11,307,134,793,0.9999667406082153,0.6977272727272728,0.15783274440518258,0.6123552123552124
12,12,127,134,808,0.9997863173484802,0.28863636363636364,0.15783274440518258,0.623938223938224
13,13,330,289,655,0.9498001337051392,0.75,0.3404004711425206,0.5057915057915058
14,14,94,285,619,0.8907341361045837,0.21363636363636362,0.33568904593639576,0.477992277992278
15,15,403,257,233,0.9874267578125,0.9159090909090909,0.3027090694935218,0.1799227799227799
16,16,29,255,148,0.9728468060493469,0.0659090909090909,0.3003533568904594,0.11428571428571428
19,19,440,229,87,0.9900996088981628,1.0,0.2697290930506478,0.06718146718146718
20,20,3,224,0,0.9821015000343323,0.006818181818181818,0.26383981154299174,0.0
23,23,281,410,907,0.9999938011169434,0.6386363636363637,0.4829210836277974,0.7003861003861004
24,24,162,414,935,0.9999905824661255,0.36818181818181817,0.4876325088339223,0.722007722007722
25,25,356,610,793,0.999148964881897,0.8090909090909091,0.71849234393404,0.6123552123552124
26,26,109,631,827,0.9971613883972168,0.24772727272727274,0.7432273262661955,0.6386100386100386
27,27,337,782,1187,0.9990236759185791,0.7659090909090909,0.9210836277974087,0.9166023166023166
28,28,131,781,1260,0.9973047971725464,0.29772727272727273,0.9199057714958775,0.972972972972973
31,31,385,849,1016,0.9982525706291199,0.875,1.0,0.7845559845559845
32,32,80,844,1119,0.9949147701263428,0.18181818181818182,0.9941107184923439,0.864092664092664
