,id,x_px,y_px,z_px,visibility,x,y,z
0,0,365,202,-578,0.9969034790992737,0.35645933014354064,0.032196969696969696,0.3270440251572327
7,7,421,168,-269,0.9961798191070557,0.4904306220095694,0.0,0.4889937106918239
8,8,341,189,-156,0.992079496383667,0.29904306220095694,0.019886363636363636,0.5482180293501048
11,11,538,292,-166,0.9998495578765869,0.7703349282296651,0.11742424242424243,0.5429769392033543
12,12,320,334,99,0.9996150135993958,0.24880382775119617,0.1571969696969697,0.6818658280922432
13,13,634,467,-468,0.8781277537345886,1.0,0.2831439393939394,0.38469601677148846
14,14,293,512,-138,0.791607141494751,0.18421052631578946,0.32575757575757575,0.5576519916142557
15,15,557,366,-1052,0.7438892126083374,0.8157894736842105,0.1875,0.07861635220125786
16,16,238,405,-795,0.6958615183830261,0.05263157894736842,0.22443181818181818,0.21331236897274633
19,19,537,317,-1202,0.7303650379180908,0.7679425837320574,0.14109848484848486,0.0
20,20,228,350,-962,0.6798223257064819,0.028708133971291867,0.17234848484848486,0.12578616352201258
23,23,490,675,-93,0.999605655670166,0.6555023923444976,0.48011363636363635,0.5812368972746331
24,24,362,674,93,0.9996420741081238,0.3492822966507177,0.4791666666666667,0.6787211740041929
25,25,526,902,-9,0.8942780494689941,0.7416267942583732,0.6950757575757576,0.6252620545073375
26,26,393,889,283,0.8962202668190002,0.423444976076555,0.6827651515151515,0.7783018867924528
27,27,560,1124,409,0.8837242126464844,0.8229665071770335,0.9053030303030303,0.8443396226415094
28,28,437,1109,682,0.9105531573295593,0.5287081339712919,0.8910984848484849,0.9874213836477987
31,31,550,1224,107,0.8891938328742981,0.7990430622009569,1.0,0.6860587002096437
32,32,366,1184,427,0.9027233123779297,0.3588516746411483,0.9621212121212122,0.8537735849056604
