,id,x_px,y_px,z_px,visibility,x,y,z
0,0,421,150,-418,0.9972878694534302,0.39923954372623577,0.016666666666666666,0.11866666666666667
7,7,490,161,-187,0.9967873096466064,0.6615969581749049,0.02631578947368421,0.4266666666666667
8,8,404,143,-78,0.9935740828514099,0.33460076045627374,0.010526315789473684,0.572
11,11,550,306,-123,0.9998091459274292,0.8897338403041825,0.15350877192982457,0.512
12,12,357,299,171,0.9995682239532471,0.155893536121673,0.14736842105263157,0.904
13,13,543,471,-230,0.8711819648742676,0.8631178707224335,0.2982456140350877,0.36933333333333335
14,14,346,458,141,0.7317405343055725,0.11406844106463879,0.2868421052631579,0.864
15,15,443,413,-426,0.7374430298805237,0.4828897338403042,0.24736842105263157,0.108
16,16,439,518,-203,0.6773470044136047,0.467680608365019,0.3394736842105263,0.4053333333333333
19,19,427,379,-507,0.7281965017318726,0.4220532319391635,0.21754385964912282,0.0
20,20,480,525,-311,0.6669898629188538,0.623574144486692,0.3456140350877193,0.2613333333333333
23,23,579,631,-76,0.9996904730796814,1.0,0.43859649122807015,0.5746666666666667
24,24,456,633,76,0.9997158646583557,0.532319391634981,0.44035087719298244,0.7773333333333333
25,25,548,915,-36,0.9110626578330994,0.8821292775665399,0.6877192982456141,0.628
26,26,408,901,-37,0.9084298610687256,0.34980988593155893,0.6754385964912281,0.6266666666666667
27,27,514,1176,217,0.9096810221672058,0.752851711026616,0.9166666666666666,0.9653333333333334
28,28,355,1148,230,0.9288216829299927,0.1482889733840304,0.8921052631578947,0.9826666666666667
31,31,489,1271,-145,0.9110909700393677,0.6577946768060836,1.0,0.4826666666666667
32,32,316,1250,-97,0.9197551012039185,0.0,0.9815789473684211,0.5466666666666666
