,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,236,117,-97,0.9999964237213135,-0.21867325602326904,-0.6513671456012269,-0.9026087589045573
7,0,7,278,115,-144,0.9999992847442627,0.17214703133746712,-0.6699776354755477,-1.3399552709510953
20,0,20,71,235,-22,0.9936020970344543,-1.7540386706547324,0.44665175698369847,-0.20471538861752844
16,0,16,97,246,38,0.9962059259414673,-1.5121023022885625,0.5490094512924627,0.3535993076120946
14,0,14,173,272,147,0.9660341739654541,-0.8049036870643732,0.7909458196586326,1.3678710057625765
12,0,12,206,182,57,0.9999785423278809,-0.49783060413808056,-0.04652622468580192,0.5303989614181419
11,0,11,313,192,-70,0.9999992847442627,0.49783060413808056,0.04652622468580192,-0.6513671456012269
13,0,13,341,293,-164,0.9977845549583435,0.7583774623785713,0.9863559633390008,-1.526060169694303
15,0,15,393,259,-442,0.9985774755477905,1.2422501991109114,0.6699776354755477,-4.112918262224889
19,0,19,419,241,-527,0.9969334602355957,1.4841865674770813,0.5024832266066608,-4.903864081883523
24,0,24,204,371,57,0.9997307658195496,-0.5164410940124013,1.7121650684375107,0.5303989614181419
23,0,23,266,374,-57,0.9998723268508911,0.0604840920915425,1.7400808032489918,-0.5303989614181419
26,0,26,187,507,12,0.9844478368759155,-0.6746302579441279,2.977678379891323,0.11166293924592462
25,0,25,265,514,-134,0.992798924446106,0.05117884715438211,3.042815094451446,-1.2469028215794915
26,0,26,187,507,12,0.9844478368759155,-0.6746302579441279,2.977678379891323,0.11166293924592462
28,0,28,231,631,218,0.9751319885253906,-0.26519948070907096,4.131528752099211,2.0285433963009636
32,0,32,191,676,112,0.9718276262283325,-0.6374092781954863,4.550264774271428,1.0421874329619631
27,0,27,249,646,11,0.9909586906433105,-0.09770507184018404,4.271107426156616,0.10235769430876422
31,0,31,224,682,-139,0.9859498143196106,-0.33033619526919367,4.60609624389439,-1.2934290462652933
