,id,x_px,y_px,z_px,visibility,x,y,z
0,0,87,9,198,0.9999985694885254,0.4223300970873786,0.024657534246575342,0.35934664246823955
7,7,102,5,308,0.9999970197677612,0.49514563106796117,0.0136986301369863,0.558983666061706
8,8,74,2,275,0.999994158744812,0.3592233009708738,0.005479452054794521,0.49909255898366606
11,11,118,52,388,0.999980092048645,0.5728155339805825,0.14246575342465753,0.7041742286751361
12,12,50,47,292,0.9999839067459106,0.24271844660194175,0.12876712328767123,0.52994555353902
13,13,141,98,373,0.9685165882110596,0.6844660194174758,0.2684931506849315,0.676950998185118
14,14,26,98,215,0.9954793453216553,0.1262135922330097,0.2684931506849315,0.39019963702359345
15,15,187,98,233,0.9949153661727905,0.9077669902912622,0.2684931506849315,0.42286751361161523
16,16,12,93,54,0.9982812404632568,0.05825242718446602,0.2547945205479452,0.09800362976406533
19,19,206,89,182,0.9950031638145447,1.0,0.24383561643835616,0.33030852994555354
20,20,1,80,0,0.9983857870101929,0.0048543689320388345,0.2191780821917808,0.0
23,23,108,170,383,0.9999816417694092,0.5242718446601942,0.4657534246575342,0.6950998185117967
24,24,71,170,303,0.9999852180480957,0.3446601941747573,0.4657534246575342,0.5499092558983666
25,25,107,253,444,0.9687822461128235,0.5194174757281553,0.6931506849315069,0.8058076225045372
26,26,68,255,300,0.9984851479530334,0.3300970873786408,0.6986301369863014,0.5444646098003629
27,27,106,328,547,0.9861321449279785,0.5145631067961165,0.8986301369863013,0.9927404718693285
28,28,71,336,365,0.9977306723594666,0.3446601941747573,0.9205479452054794,0.662431941923775
31,31,146,343,466,0.9923324584960938,0.7087378640776699,0.9397260273972603,0.8457350272232305
32,32,86,365,267,0.9966024160385132,0.4174757281553398,1.0,0.484573502722323
