,id,x_px,y_px,z_px,visibility,x,y,z
0,0,501,117,1147,0.9980019927024841,0.44612644701691895,0.022891801995695557,0.2569444444444444
7,7,712,53,2558,0.9983021020889282,0.6340160284951024,0.010369790647622775,0.5730286738351255
8,8,323,55,2479,0.9961586594581604,0.28762243989314334,0.010761103502250048,0.555331541218638
11,11,1042,665,3194,0.9997811913490295,0.9278717720391808,0.13011152416356878,0.7155017921146953
12,12,57,705,2967,0.9996086955070496,0.05075690115761353,0.13793778125611425,0.6646505376344086
13,13,1123,1329,2670,0.9455970525741577,1.0,0.26002739189982393,0.5981182795698925
14,14,15,1488,2009,0.9225354194641113,0.013357079252003561,0.2911367638426922,0.4500448028673835
15,15,319,1240,1157,0.879260241985321,0.2840605520926091,0.2426139698689102,0.2591845878136201
16,16,794,1325,466,0.833171546459198,0.7070347284060552,0.25924476619056935,0.10439068100358423
19,19,103,1186,795,0.8214922547340393,0.0917186108637578,0.23204852279397378,0.17809139784946237
20,20,987,1211,117,0.7252709269523621,0.8788958147818343,0.23693993347681472,0.02620967741935484
23,23,918,2336,2632,0.9999829530715942,0.8174532502226179,0.4570534142046566,0.589605734767025
24,24,267,2341,2450,0.9999808073043823,0.2377560106856634,0.4580316963412248,0.5488351254480287
25,25,951,3588,2699,0.9834504127502441,0.8468388245770259,0.7020152612013305,0.6046146953405018
26,26,211,3598,2289,0.9805178642272949,0.18788958147818344,0.7039718254744668,0.5127688172043011
27,27,868,4627,4375,0.9845106601715088,0.7729296527159395,0.9053022891801996,0.9800627240143369
28,28,265,4725,3671,0.9855857491493225,0.23597506678539626,0.924476619056936,0.8223566308243727
31,31,1067,4973,3167,0.9714036583900452,0.95013357079252,0.972999413030718,0.7094534050179212
32,32,0,5111,2442,0.9698865413665771,0.0,1.0,0.5470430107526881
