,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,266,103,-185,0.99913090467453,-0.1093197299466536,-0.6505857099264263,-0.98654390439663
7,0,7,336,116,-195,0.9989346861839294,0.2639671527980172,-0.5812610031309874,-1.0398706019315829
20,0,20,333,321,-383,0.8645156621932983,0.24796914353753133,0.5119362963355485,-2.042412515588699
16,0,16,294,347,-337,0.9445524215698242,0.039995023151214726,0.6505857099264263,-1.7971097069279152
14,0,14,164,353,-157,0.9742985367774963,-0.6532520448031739,0.6825817284473981,-0.8372291512987616
12,0,12,193,218,-54,0.9997709393501282,-0.49860462195181027,-0.03732868827446708,-0.287964166688746
11,0,11,380,232,-133,0.9993751645088196,0.49860462195181027,0.03732868827446708,-0.7092450772148745
13,0,13,356,358,-188,0.9415484070777893,0.37062054786792314,0.7092450772148745,-1.0025419136571159
15,0,15,237,332,-301,0.8152844309806824,-0.2639671527980172,0.5705956636239968,-1.6051335958020845
19,0,19,215,318,-346,0.6813247799873352,-0.38128588737491376,0.49593828707506266,-1.8451037347093728
24,0,24,218,496,37,0.9987286925315857,-0.36528787811442787,1.4451535031972256,0.197308780879326
23,0,23,322,501,-37,0.998178243637085,0.18930977624908304,1.4718168519647021,-0.197308780879326
26,0,26,198,710,98,0.996538519859314,-0.4719412731843338,2.5863448304452192,0.5226016358425392
25,0,25,319,715,-30,0.9958041310310364,0.17331176698859715,2.6130081792126956,-0.1599800926048589
26,0,26,198,710,98,0.996538519859314,-0.4719412731843338,2.5863448304452192,0.5226016358425392
28,0,28,216,886,371,0.9917362332344055,-0.3759532176214185,3.5248947070603913,1.9784204785467552
32,0,32,153,947,171,0.9837775230407715,-0.7119114120916222,3.8501875620236046,0.9118865278476959
27,0,27,303,894,284,0.9880254864692688,0.0879890509326724,3.567556065088354,1.5144782099926644
31,0,31,316,951,59,0.9753972887992859,0.15731375772811126,3.871518241037586,0.31462751545622253
