,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,211,235,140,0.9999984502792358,-0.20238315332961476,-0.5088490712287457,0.809532613318459
7,0,7,266,229,166,0.9999990463256836,0.1156475161883513,-0.5435433260852511,0.9598743843633157
20,0,20,213,254,434,0.10671494901180267,-0.19081840171077963,-0.398983930849812,2.509551101287223
16,0,16,184,241,393,0.3197392225265503,-0.35850730018388904,-0.47415481637224033,2.272473693101103
14,0,14,56,233,156,0.9942832589149475,-1.0986514037893373,-0.5204138228475809,0.9020506262691401
12,0,12,160,332,161,0.9999450445175171,-0.4972843196099106,0.05204138228475808,0.9309625053162279
11,0,11,332,314,196,0.9998267292976379,0.4972843196099106,-0.05204138228475808,1.1333456586458428
13,0,13,411,227,199,0.9977208971977234,0.9540920085538982,-0.5551080777040862,1.1506927860740954
15,0,15,285,245,466,0.7853907942771912,0.22551265656728503,-0.45102531313457006,2.6945871271885853
19,0,19,255,252,538,0.422049880027771,0.05204138228475808,-0.4105486824686471,3.11091818546665
24,0,24,221,553,-54,0.9989606142044067,-0.14455939523543912,1.3299464361660398,-0.3122482937085485
23,0,23,326,535,54,0.9939622282981873,0.4625900647534052,1.2258636715965237,0.3122482937085485
26,0,26,329,609,-564,0.99871826171875,0.47993719218165787,1.6537594814934236,-3.2612599565115064
25,0,25,413,488,-239,0.9781914353370667,0.9656567601727333,0.9540920085538982,-1.381987818450798
26,0,26,329,609,-564,0.99871826171875,0.47993719218165787,1.6537594814934236,-3.2612599565115064
28,0,28,395,852,-736,0.994814395904541,0.8615739956032171,3.058876803181892,-4.2558285957313275
32,0,32,478,924,-888,0.9875871539115906,1.341511187784875,3.4752078614599564,-5.134749718762798
27,0,27,282,652,-312,0.9539610743522644,0.20816552913903233,1.9024016412983789,-1.8041012525382802
31,0,31,254,731,-375,0.949041485786438,0.046259006475340515,2.3592093302423662,-2.1683909285315868
