,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,305,201,-240,0.9998781681060791,-0.0656072591192899,-0.7587622141622222,-1.369194972924311
7,0,7,371,200,-134,0.9999241828918457,0.3109213584348956,-0.7644671932160736,-0.7644671932160736
20,0,20,236,524,-574,0.9883661866188049,-0.45925081383502925,1.0839460202317461,-3.2746579769106434
16,0,16,199,538,-464,0.9886173605918884,-0.6703350388275272,1.1638157269856642,-2.647110280987001
14,0,14,155,489,-178,0.9762434363365173,-0.9213541171969841,0.8842717533469507,-1.0154862715855306
12,0,12,229,329,-121,0.9999886751174927,-0.4991856672119883,-0.028524895269256476,-0.6903024655160067
11,0,11,404,339,53,0.9999852180480957,0.4991856672119883,0.028524895269256476,0.30236388985411866
13,0,13,477,495,-100,0.9528934955596924,0.9156491381431329,0.9185016276700585,-0.5704979053851295
15,0,15,432,409,-608,0.9880043268203735,0.6589250807198246,0.4278734290388471,-3.4686272647415874
19,0,19,410,380,-722,0.9847936034202576,0.5334155415350961,0.2624290364771596,-4.1189948768806355
24,0,24,310,675,-105,0.9999831914901733,-0.03708236385003342,1.9453978573632917,-0.599022800654386
23,0,23,408,663,105,0.9999697208404541,0.5220055834273934,1.876938108717076,0.599022800654386
26,0,26,299,924,-217,0.997441291809082,-0.09983713344239767,3.365937641772264,-1.2379804546857311
25,0,25,436,885,351,0.8899662494659424,0.6817449969352297,3.1434434586720634,2.0024476479018047
26,0,26,299,924,-217,0.997441291809082,-0.09983713344239767,3.365937641772264,-1.2379804546857311
28,0,28,266,1188,-198,0.9978669881820679,-0.2881014422194904,4.872052111989006,-1.1295858526625564
32,0,32,340,1265,-533,0.9951339364051819,0.13406700776550542,5.311335499135556,-3.0407538357027404
27,0,27,451,1065,797,0.9327266812324524,0.7673196827429992,4.170339688365297,4.5468683059194825
31,0,31,535,1106,638,0.9510206580162048,1.246537923266508,4.4042438295732,3.6397766363571264
