,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,824,235,-631,0.9969748258590698,0.9222783247654004,-1.4940908861199487,-7.759434972359569
7,0,7,854,242,-225,0.9951527118682861,1.2911896546715604,-1.4080115758085112,-2.766834974296201
20,0,20,1107,438,-957,0.9794796109199524,4.402341870213511,1.002209112911735,-11.768271424006508
16,0,16,1054,465,-878,0.9902964234352112,3.7505985207126282,1.3342293098272793,-10.796804921920288
14,0,14,870,494,-941,0.997890055179596,1.487942363954846,1.690843595403234,-11.571518714723224
12,0,12,710,345,-766,0.9995477795600891,-0.4795847288780082,-0.14141600979736138,-9.419535956937288
11,0,11,788,368,80,0.992300271987915,0.4795847288780082,0.14141600979736138,0.983763546416427
13,0,13,706,501,416,0.02778487093746662,-0.5287729061988296,1.7769229057146714,5.115570441365421
15,0,15,666,599,457,0.019183389842510223,-1.020654679407043,2.9820332500747946,5.619749258903839
19,0,19,661,618,406,0.024218887090682983,-1.0821399010580697,3.2156770923486957,4.992599998063367
24,0,24,550,730,-227,0.9982819557189941,-2.447111821710862,4.592946057331694,-2.791429062956612
23,0,23,664,732,227,0.9975771307945251,-1.0452487680674538,4.617540145992105,2.791429062956612
26,0,26,479,1008,-36,0.9900445938110352,-3.320201969155441,8.011524381128778,-0.44269359588739216
25,0,25,788,987,209,0.9656819701194763,0.4795847288780082,7.753286450194466,2.570082265012916
26,0,26,479,1008,-36,0.9900445938110352,-3.320201969155441,8.011524381128778,-0.44269359588739216
28,0,28,318,1205,444,0.990581214427948,-5.300026106318501,10.43404211417923,5.45988768261117
32,0,32,368,1332,200,0.9800398349761963,-4.685173889808234,11.995766744115308,2.4594088660410676
27,0,27,746,1224,548,0.9809228777885437,-0.03689113299061601,10.66768595645313,6.738780292952526
31,0,31,862,1304,382,0.984840452671051,1.3895660093132032,11.651449502869557,4.6974709341384395
