,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,538,248,-35,0.9980878233909607,-0.22314441943422098,-0.7925474207491296,-0.17954148690109734
7,0,7,625,258,-171,0.9983086585998535,0.22314441943422098,-0.7412498530631019,-0.8771884074310756
20,0,20,450,213,-602,0.675713062286377,-0.6745630150712657,-0.972088907650227,-3.088113574698874
16,0,16,419,235,-569,0.879136860370636,-0.833585474897952,-0.8592342587409658,-2.9188316013349827
14,0,14,333,339,-192,0.9601659774780273,-1.274744556997791,-0.3257395548062766,-0.984913299571734
12,0,12,486,383,113,0.9978052973747253,-0.4898917714015656,-0.10003025698775424,0.5796625148521143
11,0,11,677,422,-137,0.9946488738059998,0.4898917714015656,0.10003025698775424,-0.7027766772985811
13,0,13,693,549,-521,0.8780612945556641,0.5719678796992101,0.7515093666003074,-2.672603276442049
15,0,15,658,402,-850,0.6381502151489258,0.39242639279811276,-0.0025648783843013907,-4.360293253312364
19,0,19,652,341,-892,0.4559363126754761,0.3616478521864961,-0.31548004126907103,-4.575743037593681
24,0,24,479,766,67,0.9980702996253967,-0.5258000687817851,1.864666585387111,0.34369370349638634
23,0,23,606,770,-68,0.9980304837226868,0.12567904083076814,1.885185612461522,-0.3488234602649891
26,0,26,509,1054,97,0.9846596717834473,-0.37190736572370164,3.342036534744712,0.4975864065544698
25,0,25,623,1067,-118,0.9885767102241516,0.21288490589701542,3.408723372736548,-0.6053112986951282
26,0,26,509,1054,97,0.9846596717834473,-0.37190736572370164,3.342036534744712,0.4975864065544698
28,0,28,551,1304,513,0.9826955795288086,-0.15645758144238484,4.624475726895407,2.6315652222932266
32,0,32,515,1406,236,0.9752741456031799,-0.341128825112085,5.1477109172928905,1.2106225973902565
27,0,27,628,1315,265,0.9880318641662598,0.23853368974002934,4.680903051350038,1.359385543679737
31,0,31,609,1412,-74,0.9784536361694336,0.14106831113657647,5.178489457904508,-0.3796020008766058
