,id,x_px,y_px,z_px,visibility,x,y,z
0,0,513,254,-507,0.9997746348381042,0.5570469798657718,0.027074235807860263,0.2813299232736573
7,7,529,225,-139,0.9997364282608032,0.610738255033557,0.0017467248908296944,0.46956521739130436
8,8,453,227,-340,0.9995608329772949,0.35570469798657717,0.0034934497816593887,0.3667519181585678
11,11,557,351,142,0.9999382495880127,0.7046979865771812,0.11179039301310044,0.6132992327365729
12,12,388,347,-287,0.9998823404312134,0.13758389261744966,0.10829694323144105,0.3938618925831202
13,13,645,496,-92,0.8188272714614868,1.0,0.23842794759825328,0.4936061381074169
14,14,368,531,-599,0.4270893335342407,0.07046979865771812,0.2689956331877729,0.23427109974424554
15,15,603,367,-615,0.8585492968559265,0.8590604026845637,0.125764192139738,0.22608695652173913
16,16,456,426,-943,0.6117304563522339,0.36577181208053694,0.17729257641921398,0.058312020460358056
19,19,571,330,-712,0.8549238443374634,0.7516778523489933,0.09344978165938865,0.17647058823529413
20,20,452,376,-1012,0.6665395498275757,0.3523489932885906,0.13362445414847163,0.023017902813299233
23,23,513,731,176,0.9998959898948669,0.5570469798657718,0.44366812227074237,0.6306905370843989
24,24,420,734,-177,0.9998553395271301,0.24496644295302014,0.4462882096069869,0.45012787723785164
25,25,540,985,421,0.7731356620788574,0.6476510067114094,0.6655021834061136,0.7560102301790281
26,26,376,1014,-299,0.7728288769721985,0.09731543624161074,0.6908296943231441,0.3877237851662404
27,27,464,1198,865,0.8034855127334595,0.3926174496644295,0.851528384279476,0.9831202046035805
28,28,347,1271,-308,0.8577420115470886,0.0,0.9152838427947598,0.38312020460358054
31,31,554,1254,766,0.8338668942451477,0.6946308724832215,0.9004366812227074,0.9324808184143223
32,32,516,1368,-613,0.8816337585449219,0.5671140939597316,1.0,0.22710997442455244
