,id,x_px,y_px,z_px,visibility,x,y,z
0,0,89,9,243,0.9997311234474182,0.664179104477612,0.025423728813559324,0.3127413127413127
7,7,109,4,389,0.9997599720954895,0.8134328358208955,0.011299435028248588,0.5006435006435006
8,8,74,2,441,0.99905925989151,0.5522388059701493,0.005649717514124294,0.5675675675675675
11,11,134,48,433,0.999950647354126,1.0,0.13559322033898305,0.5572715572715573
12,12,55,45,585,0.9997186064720154,0.41044776119402987,0.1271186440677966,0.752895752895753
13,13,132,116,324,0.9823153018951416,0.9850746268656716,0.327683615819209,0.416988416988417
14,14,33,108,541,0.6607547402381897,0.2462686567164179,0.3050847457627119,0.6962676962676962
15,15,106,101,72,0.9905375838279724,0.7910447761194029,0.2853107344632768,0.09266409266409266
16,16,20,98,276,0.9700180292129517,0.14925373134328357,0.2768361581920904,0.3552123552123552
19,19,99,90,0,0.9892080426216125,0.7388059701492538,0.2542372881355932,0.0
20,20,19,87,193,0.9782100319862366,0.1417910447761194,0.2457627118644068,0.2483912483912484
23,23,91,167,481,0.9997934699058533,0.6791044776119403,0.4717514124293785,0.6190476190476191
24,24,45,164,591,0.9998084902763367,0.3358208955223881,0.4632768361581921,0.7606177606177607
25,25,89,249,477,0.9933643341064453,0.664179104477612,0.7033898305084746,0.6138996138996139
26,26,29,249,587,0.973141610622406,0.21641791044776118,0.7033898305084746,0.7554697554697555
27,27,96,318,687,0.9827661514282227,0.7164179104477612,0.8983050847457628,0.8841698841698842
28,28,36,322,764,0.9661461114883423,0.26865671641791045,0.9096045197740112,0.9832689832689833
31,31,79,354,591,0.9747387170791626,0.5895522388059702,1.0,0.7606177606177607
32,32,0,351,675,0.9514310956001282,0.0,0.9915254237288136,0.8687258687258688
