,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,466,253,-154,0.999929666519165,-0.1289308176100629,-0.8301886792452831,-0.9685534591194969
7,0,7,554,252,-6,0.9996728897094727,0.42452830188679247,-0.8364779874213837,-0.03773584905660377
20,0,20,520,392,-643,0.9554014205932617,0.21069182389937108,0.0440251572327044,-4.044025157232705
16,0,16,489,449,-614,0.9803202152252197,0.015723270440251572,0.4025157232704403,-3.861635220125786
14,0,14,384,582,-446,0.973591685295105,-0.6446540880503144,1.2389937106918238,-2.8050314465408803
12,0,12,407,385,-189,0.9999055862426758,-0.5,0.0,-1.1886792452830188
11,0,11,566,385,202,0.9987718462944031,0.5,0.0,1.270440251572327
13,0,13,665,522,-25,0.8883779048919678,1.1226415094339623,0.8616352201257862,-0.15723270440251572
15,0,15,613,385,-393,0.9395577907562256,0.7955974842767296,0.0,-2.4716981132075473
19,0,19,579,335,-402,0.88014817237854,0.5817610062893082,-0.31446540880503143,-2.5283018867924527
24,0,24,453,788,-176,0.9980092644691467,-0.21069182389937108,2.5345911949685536,-1.1069182389937107
23,0,23,532,775,176,0.990435004234314,0.2861635220125786,2.452830188679245,1.1069182389937107
26,0,26,485,1073,-316,0.8984927535057068,-0.009433962264150943,4.327044025157233,-1.9874213836477987
25,0,25,551,1029,372,0.3912104070186615,0.4056603773584906,4.050314465408805,2.339622641509434
26,0,26,485,1073,-316,0.8984927535057068,-0.009433962264150943,4.327044025157233,-1.9874213836477987
28,0,28,425,1345,-420,0.8366376161575317,-0.3867924528301887,6.037735849056604,-2.641509433962264
32,0,32,531,1435,-689,0.7696614861488342,0.279874213836478,6.60377358490566,-4.333333333333333
27,0,27,477,1234,645,0.3881601393222809,-0.059748427672955975,5.339622641509434,4.056603773584905
31,0,31,560,1278,556,0.542610228061676,0.46226415094339623,5.616352201257862,3.49685534591195
