,person_id,id,x_px,y_px,z_px,visibility,x,y,z
8,0,8,481,211,-20,0.9978026747703552,-0.19221672366858725,-0.5228294883785574,-0.0768866894674349
7,0,7,562,219,-224,0.9994033575057983,0.11917436867452409,-0.49207481259158337,-0.8611309220352709
20,0,20,499,304,-559,0.67718905210495,-0.12301870314789584,-0.16530638235498504,-2.1489829706148056
16,0,16,478,378,-530,0.807563304901123,-0.20374972708870248,0.11917436867452409,-2.037497270887025
14,0,14,367,523,-132,0.7758370041847229,-0.6304708536329662,0.6766028673134271,-0.5074521504850703
12,0,12,401,343,114,0.9988941550254822,-0.49976348153832684,-0.01537733789348698,0.43825412996437896
11,0,11,661,351,-192,0.9990517497062683,0.49976348153832684,0.01537733789348698,-0.7381122188873751
13,0,13,598,537,-357,0.9284126162528992,0.25757040971590695,0.7304235499406315,-1.372427406993713
15,0,15,509,374,-385,0.9389994740486145,-0.08457535841417839,0.10379703078103712,-1.4800687722481218
19,0,19,520,301,-401,0.896599292755127,-0.042287679207089195,-0.17683938577510028,-1.5415781238220698
24,0,24,438,766,56,0.9988546371459961,-0.3575231060235723,1.6107761443427613,0.21528273050881772
23,0,23,578,762,-56,0.9983406066894531,0.180683720248472,1.5953988064492741,-0.21528273050881772
26,0,26,466,1067,123,0.9913460612297058,-0.24988174076916342,2.7679208208276567,0.47285314022472463
25,0,25,586,1059,0,0.991133987903595,0.21143839603544598,2.7371661450406823,0.0
26,0,26,466,1067,123,0.9913460612297058,-0.24988174076916342,2.7679208208276567,0.47285314022472463
28,0,28,491,1326,426,0.9826290607452393,-0.1537733789348698,3.7636034494309385,1.6376864856563633
32,0,32,464,1433,205,0.9713545441627502,-0.25757040971590695,4.174947238081715,0.7880885670412078
27,0,27,589,1323,341,0.9806408882141113,0.22297139945556121,3.752070446010823,1.310918055419765
31,0,31,597,1434,71,0.9660014510154724,0.25372607524253515,4.178791572555087,0.2729477476093939
