,id,x_px,y_px,z_px,visibility,x,y,z
0,0,194,14,405,0.9996705055236816,0.5145888594164456,0.02204724409448819,0.4149590163934426
7,7,215,13,589,0.9994687438011169,0.5702917771883289,0.02047244094488189,0.6034836065573771
8,8,148,13,555,0.9994763731956482,0.3925729442970822,0.02047244094488189,0.5686475409836066
11,11,269,106,641,0.9993250370025635,0.713527851458886,0.16692913385826771,0.6567622950819673
12,12,98,98,622,0.9994224309921265,0.259946949602122,0.15433070866141732,0.6372950819672131
13,13,350,10,694,0.621462881565094,0.9283819628647215,0.015748031496062992,0.7110655737704918
14,14,0,5,667,0.8454589247703552,0.0,0.007874015748031496,0.6834016393442623
15,15,224,22,870,0.0740705356001854,0.5941644562334217,0.03464566929133858,0.8913934426229508
16,16,134,19,917,0.10932037234306335,0.35543766578249336,0.029921259842519685,0.9395491803278688
19,19,199,34,916,0.03880040720105171,0.5278514588859416,0.05354330708661417,0.9385245901639344
20,20,160,31,976,0.03493323177099228,0.4244031830238727,0.048818897637795275,1.0
23,23,267,310,705,0.9996281862258911,0.7082228116710876,0.4881889763779528,0.7223360655737705
24,24,168,332,685,0.9998058676719666,0.44562334217506633,0.5228346456692914,0.701844262295082
25,25,377,178,342,0.45123809576034546,1.0,0.2803149606299213,0.35040983606557374
26,26,72,342,159,0.795158326625824,0.1909814323607427,0.5385826771653544,0.16290983606557377
27,27,206,390,392,0.10586001724004745,0.5464190981432361,0.6141732283464567,0.4016393442622951
28,28,238,553,135,0.5495932102203369,0.6312997347480106,0.8708661417322835,0.13831967213114754
31,31,127,459,301,0.14881673455238342,0.33687002652519893,0.7228346456692913,0.3084016393442623
32,32,289,635,0,0.4677582383155823,0.76657824933687,1.0,0.0
